analysis_id,ab46nr83j6ou3nc
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_024_001
gene_accession_id,MGI:2684980
pvalue,0.2570625
gene_symbol,Mms22l
parameter_name,UIBC (unsaturated iron binding capacity)
