analysis_id,z8z4a98w4a21iv9
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
pvalue,0.9045027
gene_accession_id,MGI:2444114
gene_symbol,Zcchc2
mouse_life_stage,Early adult
mouse_strain,C57BL
