parameter_name,Placenta Size
analysis_id,68i313ejl7i2xqq
mouse_life_stage,Early adult
gene_symbol,Psd4
mouse_strain,C57BL
gene_accession_id,MGI:2674093
parameter_id,IMPC_GPP_004_001
pvalue,0.7956173
