gene_symbol,Cntfr
analysis_id,53bzu004o87u8lq
parameter_id,ESLIM_011_001_704
pvalue,0.545658
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_name,Prepulse inhibition - PP4
mouse_strain,129SV
