parameter_id,IMPC_IMM_025_001
parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:2444554
analysis_id,1f70kuz05ld6251
mouse_life_stage,E12.5
gene_symbol,Mapkap1
pvalue,0.8458963
mouse_strain,C57BL
