analysis_id,p13okh2y33lc9il
pvalue,0.7456784
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
gene_symbol,Gfi1b
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of cDC
parameter_id,MGP_IMM_067_001
