parameter_name,Whole arena resting time
parameter_id,ESLIM_007_001_003
gene_accession_id,MGI:97838
mouse_strain,C57BL
gene_symbol,Eprs1
mouse_life_stage,E9.5
analysis_id,2749uc967u4chhe
pvalue,0.5172952
