parameter_name,18kHz-evoked ABR Threshold
analysis_id,2un8it6irxlh7k2
pvalue,0.2534177
gene_symbol,Ddx27
parameter_id,IMPC_ABR_008_001
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:2385884
