parameter_name,Sodium
pvalue,0.5425912
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,9hss00m4x090pkr
gene_accession_id,MGI:1274787
gene_symbol,Trdmt1
parameter_id,IMPC_CBC_001_001
