gene_symbol,Trpa1
gene_accession_id,MGI:3522699
parameter_id,IMPC_CSD_029_001
analysis_id,69bu55343818dr8
mouse_strain,C57BL
pvalue,0.2155969
mouse_life_stage,Early adult
parameter_name,Activity (body position)
