parameter_name,End-Systolic Diameter
mouse_strain,C57BL
parameter_id,IMPC_ECH_001_001
pvalue,0.989979
analysis_id,1ehl9t3208325d3
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
