parameter_name,Red blood cell count
gene_symbol,Rab22a
mouse_life_stage,Early adult
analysis_id,2991570ld659u07
parameter_id,IMPC_HEM_002_001
pvalue,0.3431964
mouse_strain,C57BL
gene_accession_id,MGI:105072
