parameter_name,Eosinophil number
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_id,MGP_PBI_040_001
mouse_strain,B6J
pvalue,0.5960821
analysis_id,219930ymf414z79
mouse_life_stage,Early adult
