pvalue,7.816747e-11
gene_accession_id,MGI:2181659
parameter_name,% Pre-pulse inhibition - PPI2
mouse_strain,C57BL
gene_symbol,Tox
mouse_life_stage,Early adult
analysis_id,03zwhhqfwc5pzy4
parameter_id,IMPC_ACS_034_001
