analysis_id,2vsmxk1u390vq65
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.5102311
gene_symbol,Frmpd1
mouse_life_stage,Middle aged adult
parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
