gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,MGP_MLN_006_001
pvalue,0.5280713
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,55p6mm4272d2652
