analysis_id,q3d46ygzta07ee1
parameter_name,CD4+ T helper cells - % of CD45+
gene_symbol,Bmi1
pvalue,0.3501114
mouse_strain,C54BL
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
parameter_id,MGP_IMM_072_001
