parameter_name,Caudal processes
analysis_id,no034od6810101n
pvalue,0.2718185
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
mouse_life_stage,Early adult
