analysis_id,x98jb8j8c447x35
parameter_id,M-G-P_007_001_008
pvalue,0.1912421
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_name,Periphery - Permanence Time
gene_symbol,Lpgat1
