parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
pvalue,0.2958076
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
analysis_id,21t5ez1574x8n12
mouse_strain,C57BL
mouse_life_stage,Early adult
