analysis_id,3491q8j76hz8tj6
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
parameter_id,MGP_MLN_021_001
pvalue,0.2611425
mouse_life_stage,E9.5
