analysis_id,b2742v36464a3un
mouse_strain,C57BL
parameter_id,ESLIM_016_001_002
gene_accession_id,MGI:1914437
pvalue,0.3136341
mouse_life_stage,Early adult
gene_symbol,Zmynd19
parameter_name,Red blood cell count
