parameter_name,Shape of ribcage
gene_symbol,Mov10
mouse_strain,C57BL
gene_accession_id,MGI:97054
pvalue,0.5050551
analysis_id,44i43406go75cw3
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_059_001
