analysis_id,5642h132n380c86
pvalue,0.5902878
gene_accession_id,MGI:1917810
parameter_id,ESLIM_007_001_003
gene_symbol,Wars2
mouse_life_stage,E9.5
parameter_name,Whole arena resting time
mouse_strain,C57BL
