parameter_name,Shape of ribcage
analysis_id,25740o45x1c1ox3
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
pvalue,0.9173065
gene_symbol,Gpbp1l1
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
