analysis_id,k931zw1595c898s
parameter_name,Hindlimbs - size
mouse_strain,C57BL
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_022_001
gene_symbol,Casq1
pvalue,0.5705132
