analysis_id,57xmt03373p6825
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
pvalue,0.1057488
gene_symbol,Col6a3
parameter_name,Response amplitude - S
