parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_name,Body Weight
pvalue,0.155
mouse_life_stage,Early adult
analysis_id,r09i31361d5od51
gene_symbol,Eprs1
