analysis_id,4l2n9je18r1qox4
gene_symbol,Zyg11b
parameter_id,JAX_OFD_016_001
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
parameter_name,Center permanence time
mouse_strain,C57BL
pvalue,0.9882613
