gene_symbol,Psmd14
mouse_life_stage,Early adult
parameter_name,Periphery resting time
pvalue,0.7026915
gene_accession_id,MGI:1913284
analysis_id,2ts3b7ccpsdxexh
parameter_id,HRWLLA_OFD_011_001
mouse_strain,C57BL
