parameter_name,HDL-cholesterol
parameter_id,IMPC_CBC_016_001
mouse_life_stage,Early adult
analysis_id,vjb530x78wkas67
gene_accession_id,MGI:2446274
pvalue,0.4320285
mouse_strain,C57BL
gene_symbol,Frmpd1
