parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
mouse_strain,C57BL
parameter_name,Iron
mouse_life_stage,Early adult
analysis_id,9bx278hdi051351
pvalue,0.3181484
