analysis_id,88h19377fy81030
mouse_life_stage,E12.5
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
gene_symbol,Fgb
pvalue,0.6373275
gene_accession_id,MGI:99501
parameter_name,Prepulse inhibition - PP3
