analysis_id,4a3rd9p59h74059
pvalue,0.8075217
gene_symbol,Hspa5
parameter_name,Vocalization
mouse_strain,C57BL
parameter_id,IMPC_CSD_078_001
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
