gene_symbol,Ahcy
mouse_life_stage,E9.5
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
gene_accession_id,MGI:87968
analysis_id,03q7737vq7as105
parameter_name,Ly6Clow monocyte number
pvalue,0.5855895
