analysis_id,6g6k4y2dg8maizy
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_007_001
gene_symbol,Dhdds
parameter_name,Cornea
gene_accession_id,MGI:1914672
mouse_strain,C57BL
pvalue,0.1975958
