analysis_id,33779w245j734m8
gene_accession_id,MGI:1914309
pvalue,0.6625324
mouse_life_stage,Early adult
parameter_name,PP4 + pulse startle magnitude
parameter_id,ESLIM_011_001_010
gene_symbol,Ola1
mouse_strain,C57BL
