gene_symbol,Rhbg
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7358253
analysis_id,09lcc4m3igso1l7
