analysis_id,45u4zr8428xxr17
mouse_strain,C57BL
pvalue,0.5253215
gene_symbol,Frmpd1
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:2446274
parameter_id,MGP_MLN_031_001
mouse_life_stage,Late adult
