analysis_id,8nn6fwpylz50158
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
pvalue,0.7535563
gene_symbol,Cldn19
mouse_strain,C57BL
parameter_name,Center permanence time
