analysis_id,lndl00c16x4q574
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Red blood cell distribution width
gene_accession_id,MGI:2446274
parameter_id,IMPC_HEM_027_001
pvalue,0.1346893
mouse_life_stage,Early adult
