analysis_id,ldh40w4720g8750
gene_symbol,Hpca
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Monocyte percentage
gene_accession_id,MGI:1336200
parameter_id,MGP_PBI_016_001
pvalue,0.1248031
