gene_symbol,Trpa1
pvalue,0.3088669
analysis_id,vta2cy0z3ie1145
mouse_life_stage,Early adult
parameter_id,M-G-P_025_001_030
parameter_name,Magnesium
gene_accession_id,MGI:3522699
mouse_strain,C57BL
