analysis_id,i70mnc4o6n9j62a
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
pvalue,0.6122903
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_id,IMPC_GEL_027_001
parameter_name,Neural tube closure
