parameter_name,Centre distance travelled
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
analysis_id,h1l8tx2hgq1hmwi
mouse_strain,C57BL
pvalue,3.366758e-07
gene_symbol,Cisd2
parameter_id,ESLIM_007_001_010
