gene_symbol,Inpp1
pvalue,0.1372181
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_MLN_063_001
analysis_id,ak4l8l24a77fz98
