parameter_name,Neutrophil differential count
mouse_strain,C57BL
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
analysis_id,o67nffzhuqu060s
parameter_id,IMPC_HEM_029_001
gene_symbol,Sprr1b
pvalue,0.2013449
