analysis_id,73z3936q2fh5v5h
mouse_strain,C57BL
parameter_id,IMPC_IMM_005_002
pvalue,0.4780554
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
gene_symbol,Tox
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
