gene_symbol,Ahctf1
mouse_life_stage,Early adult
analysis_id,f1p4a3wd54t3m66
gene_accession_id,MGI:1915033
mouse_strain,C57BL
parameter_id,IMPC_CSD_011_001
pvalue,0.6871371
parameter_name,Coat - hair distribution - back
