analysis_id,6365243ojaet4w1
gene_accession_id,MGI:1914061
parameter_name,Resting NK cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Duoxa2
parameter_id,MGP_IMM_100_001
pvalue,0.8220406
