gene_symbol,Usp37
mouse_life_stage,Early adult
pvalue,0.4464102
mouse_strain,C57BL
gene_accession_id,MGI:2442483
analysis_id,0mg3358r5t3fjuq
parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
