parameter_name,Iron
parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:2441730
mouse_strain,C57BL
gene_symbol,Tbl1xr1
analysis_id,21i0ua9aw05p053
mouse_life_stage,Early adult
pvalue,0.6407031
