parameter_id,ICS_FEA_019_001
gene_accession_id,MGI:2684980
pvalue,0.2691834
gene_symbol,Mms22l
analysis_id,087q3ttn56e89lv
parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
mouse_strain,C57BL
