analysis_id,0266530c1j21b06
mouse_strain,C57BL
parameter_name,Center average speed
gene_symbol,Hrnr
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
parameter_id,JAX_OFD_017_001
pvalue,0.8717902
