gene_symbol,Atg4c
parameter_id,IMPC_IMM_065_001
parameter_name,B2B Cells
mouse_strain,C57BL
pvalue,0.5951276
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
analysis_id,90a39z94dkm17z9
