analysis_id,0r6vi8p96y0z40q
gene_accession_id,MGI:1920638
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,Early adult
pvalue,0.4798901
parameter_id,MGP_BMI_006_001
gene_symbol,Bpifa3
mouse_strain,129SV
