gene_symbol,Lamb3
mouse_strain,C57BL
analysis_id,pn5xi398b978102
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.9408148
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
parameter_id,MGP_MLN_066_001
