analysis_id,u492z0mzz5800b9
parameter_id,IMPC_ABR_008_001
parameter_name,18kHz-evoked ABR Threshold
gene_symbol,Nemp2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444113
pvalue,0.4820917
