gene_symbol,Mgst2
analysis_id,66c1txh1l6lgxju
pvalue,0.3531603
parameter_id,JAXLA_CSD_077_001
parameter_name,Contact righting
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2448481
