analysis_id,18722viycxgsv81
gene_accession_id,MGI:1920344
pvalue,0.06054496
parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_name,Placenta Size
