parameter_name,CD8 CD44+CD62L- T cells
parameter_id,IMPC_IMM_032_001
gene_symbol,Slc39a10
mouse_life_stage,Early adult
analysis_id,241j01a44rtu9dv
gene_accession_id,MGI:1914515
mouse_strain,C57BL
pvalue,0.728469
