parameter_name,Total holepokes
analysis_id,811c5ep267dg6a1
gene_accession_id,MGI:99605
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
gene_symbol,Cntfr
pvalue,0.7509172
mouse_strain,129SV
