parameter_name,18kHz-evoked ABR Threshold
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
parameter_id,IMPC_ABR_008_001
analysis_id,97j84nt1i4p1x53
pvalue,0.3098048
gene_symbol,Nipal3
