parameter_name,Mean-corpuscular-haemoglobin
mouse_life_stage,Early adult
gene_symbol,Pum1
mouse_strain,C57BL
pvalue,0.6126539
gene_accession_id,MGI:1931749
analysis_id,xiiby9o42rp54pb
parameter_id,M-G-P_016_001_006
